# x0=40, y0=-20, x1=40, y1=-56.3, x2=40, y2=-63.8
# time  ux_r0  uy_r0  ux_r1  uy_r1  ux_r2  uy_r2
0 0 0 0 0 0 0
8.33e-06 0 0 0 0 0 0
1.666e-05 0 0 0 0 0 0
2.499e-05 0 0 0 0 0 0
3.332e-05 0 0 0 0 0 0
4.165e-05 0 0 0 0 0 0
4.998e-05 0 0 0 0 0 0
0.00054978 7.80885e-46 -2.55136e-58 -2.9545e-93 1.28406e-98 1.64631e-104 1.21431e-108
0.00055811 1.09983e-45 -4.14034e-58 -5.61748e-93 2.56461e-98 3.49347e-104 3.01665e-108
0.00056644 1.48704e-45 -6.14956e-58 -1.05511e-92 5.02329e-98 7.31095e-104 7.19874e-108
0.00057477 1.94675e-45 -8.57793e-58 -1.95837e-92 9.65872e-98 1.50954e-103 1.66155e-107
0.0005831 2.48044e-45 -1.13775e-57 -3.59314e-92 1.82467e-97 3.07638e-103 3.72653e-107
0.00059143 3.08578e-45 -1.44443e-57 -6.51874e-92 3.38914e-97 6.1905e-103 8.14814e-107
0.00059976 3.75531e-45 -1.75933e-57 -1.16973e-91 6.19297e-97 1.23042e-102 1.74114e-106
0.00060809 4.47507e-45 -2.05474e-57 -2.07664e-91 1.11388e-96 2.41643e-102 3.64287e-106
0.00061642 5.223e-45 -2.29184e-57 -3.64836e-91 1.97285e-96 4.69056e-102 7.47364e-106
0.00062475 5.9673e-45 -2.41963e-57 -6.34451e-91 3.44219e-96 9.00197e-102 1.50529e-105
0.00063308 6.66481e-45 -2.374e-57 -1.09235e-90 5.91826e-96 1.70859e-101 2.97944e-105
0.00064141 7.2594e-45 -2.07807e-57 -1.86245e-90 1.00296e-95 3.2081e-101 5.80017e-105
0.00064974 7.68054e-45 -1.44327e-57 -3.14523e-90 1.67571e-95 5.96044e-101 1.11133e-104
0.00065807 7.84225e-45 -3.71813e-58 -5.26196e-90 2.76059e-95 1.09607e-100 2.09701e-104
0.0006664 7.64238e-45 1.23892e-57 -8.72268e-90 4.48479e-95 1.99541e-100 3.89892e-104
0.00067473 6.96263e-45 3.48996e-57 -1.43296e-89 7.1852e-95 3.59714e-100 7.14612e-104
0.00068306 5.66938e-45 6.47256e-57 -2.33327e-89 1.13525e-94 6.42252e-100 1.29167e-103
0.00069139 3.61552e-45 1.0258e-56 -3.76626e-89 1.76875e-94 1.13597e-99 2.30322e-103
0.00069972 6.43586e-46 1.48826e-56 -6.02741e-89 2.71709e-94 1.99079e-99 4.05281e-103
0.00070805 -3.40962e-45 2.03341e-56 -9.56495e-89 4.11438e-94 3.4575e-99 7.03921e-103
0.00071638 -8.70669e-45 2.65355e-56 -1.50528e-88 6.13943e-94 5.95186e-99 1.20708e-102
0.00072471 -1.54014e-44 3.33247e-56 -2.34954e-88 9.02355e-94 1.01571e-98 2.04395e-102
0.00073304 -2.36286e-44 4.04382e-56 -3.63766e-88 1.30554e-93 1.71864e-98 3.41817e-102
0.00074137 -3.34915e-44 4.74938e-56 -5.58696e-88 1.85787e-93 2.88375e-98 5.64621e-102
0.0007497 -4.50472e-44 5.39781e-56 -8.51292e-88 2.59769e-93 4.79906e-98 9.21281e-102
0.00075803 -5.82901e-44 5.92313e-56 -1.28695e-87 3.5635e-93 7.92201e-98 1.48497e-101
0.00076636 -7.31333e-44 6.24493e-56 -1.93042e-87 4.7866e-93 1.29734e-97 2.36449e-101
0.00077469 -8.93881e-44 6.26819e-56 -2.87323e-87 6.2783e-93 2.10794e-97 3.71904e-101
0.00078302 -1.06743e-43 5.88439e-56 -4.24358e-87 8.00927e-93 3.39863e-97 5.77777e-101
0.00079135 -1.24742e-43 4.97509e-56 -6.21946e-87 9.87795e-93 5.43794e-97 8.86464e-101
0.00079968 -1.42762e-43 3.4158e-56 -9.04555e-87 1.16643e-92 8.63562e-97 1.3429e-100
0.00080801 -1.59995e-43 1.08198e-56 -1.30551e-86 1.29644e-92 1.3612e-96 2.00809e-100
0.00081634 -1.75429e-43 -2.1444e-56 -1.86974e-86 1.31022e-92 2.12987e-96 2.96288e-100
0.00082467 -1.87837e-43 -6.36468e-56 -2.6572e-86 1.10129e-92 3.30845e-96 4.31142e-100
0.000833 -1.95769e-43 -1.16525e-55 -3.74703e-86 5.09726e-93 5.1023e-96 6.18331e-100
0.00084133 -1.9755e-43 -1.8041e-55 -5.2425e-86 -6.95407e-93 7.81279e-96 8.73274e-100
0.00084966 -1.91296e-43 -2.5509e-55 -7.27676e-86 -2.83598e-92 1.18787e-95 1.2132e-99
0.00085799 -1.74932e-43 -3.39664e-55 -1.00192e-85 -6.34561e-92 1.79339e-95 1.65549e-99
0.00086632 -1.46231e-43 -4.32386e-55 -1.3682e-85 -1.17887e-91 2.68872e-95 2.21451e-99
0.00087465 -1.02864e-43 -5.30522e-55 -1.85273e-85 -1.98733e-91 4.00305e-95 2.89598e-99
0.00088298 -4.24697e-44 -6.30231e-55 -2.48722e-85 -3.14506e-91 5.91866e-95 3.68781e-99
0.00089131 3.72532e-44 -7.26439e-55 -3.30923e-85 -4.74916e-91 8.69061e-95 4.54594e-99
0.00089964 1.38439e-43 -8.12801e-55 -4.36209e-85 -6.90273e-91 1.26728e-94 5.37333e-99
0.00090797 2.62922e-43 -8.8169e-55 -5.69409e-85 -9.70347e-91 1.83522e-94 5.98974e-99
0.0009163 4.12086e-43 -9.24206e-55 -7.35657e-85 -1.32247e-90 2.63931e-94 6.09003e-99
0.00092463 5.86691e-43 -9.30367e-55 -9.40047e-85 -1.74859e-90 3.76935e-94 5.18816e-99
0.00093296 7.8668e-43 -8.89311e-55 -1.18705e-84 -2.24109e-90 5.3456e-94 2.54461e-99
0.00094129 1.01098e-42 -7.89685e-55 -1.4796e-84 -2.77692e-90 7.52757e-94 -2.924e-99
0.00094962 1.25727e-42 -6.19978e-55 -1.81781e-84 -3.30996e-90 1.05246e-93 -1.27529e-98
0.00095795 1.52179e-42 -3.69151e-55 -2.19702e-84 -3.76143e-90 1.46087e-93 -2.90506e-98
0.00096628 1.79908e-42 -2.74014e-56 -2.60519e-84 -4.00836e-90 2.01286e-93 -5.46259e-98
0.00097461 2.0818e-42 4.13319e-55 -3.01936e-84 -3.87072e-90 2.75265e-93 -9.31014e-98
0.00098294 2.36055e-42 9.5808e-55 -3.40091e-84 -3.09804e-90 3.73545e-93 -1.48989e-97
0.00099127 2.62369e-42 1.60814e-54 -3.68948e-84 -1.35732e-90 5.02916e-93 -2.27681e-97
0.0009996 2.85726e-42 2.35988e-54 -3.79528e-84 1.77501e-90 6.7157e-93 -3.35301e-97
0.00100793 3.04492e-42 3.20393e-54 -3.58944e-84 6.81311e-90 8.89182e-93 -4.78317e-97
0.00101626 3.16801e-42 4.12395e-54 -2.89246e-84 1.43479e-89 1.16687e-92 -6.62818e-97
0.00102459 3.20564e-42 5.09583e-54 -1.46035e-84 2.50122e-89 1.51699e-92 -8.93297e-97
0.00103292 3.13498e-42 6.08696e-54 1.03123e-84 3.9415e-89 1.95258e-92 -1.17077e-96
0.00104125 2.93158e-42 7.05566e-54 5.00469e-84 5.80332e-89 2.48648e-92 -1.49005e-96
0.00104958 2.56992e-42 7.95097e-54 1.09995e-83 8.10491e-89 3.12972e-92 -1.83588e-96
0.00105791 2.02405e-42 8.71271e-54 1.96913e-83 1.08117e-88 3.88914e-92 -2.17791e-96
0.00106624 1.26839e-42 9.27204e-54 3.19095e-83 1.38049e-88 4.76381e-92 -2.46412e-96
0.00107457 2.78804e-43 9.55272e-54 4.86508e-83 1.68404e-88 5.73987e-92 -2.61287e-96
0.0010829 -9.66307e-43 9.4728e-54 7.10855e-83 1.94982e-88 6.78337e-92 -2.50362e-96
0.00109123 -2.48461e-42 8.94709e-54 1.00551e-82 2.11226e-88 7.83055e-92 -1.96686e-96
0.00109956 -4.28838e-42 7.88998e-54 1.38526e-82 2.07546e-88 8.7748e-92 -7.74194e-97
0.00110789 -6.38282e-42 6.21947e-54 1.8658e-82 1.7063e-88 9.44969e-92 1.3699e-96
0.00111622 -8.76431e-42 3.86128e-54 2.46285e-82 8.2798e-89 9.6072e-92 4.83201e-96
0.00112455 -1.14186e-41 7.54283e-55 3.19071e-82 -7.84591e-89 8.89042e-92 1.00459e-95
0.00113288 -1.43189e-41 -3.14426e-54 4.06031e-82 -3.40597e-88 6.79989e-92 1.74961e-95
0.00114121 -1.7424e-41 -7.85213e-54 5.07628e-82 -7.35539e-88 2.65312e-92 2.76817e-95
0.00114954 -2.06767e-41 -1.33561e-53 6.23315e-82 -1.29829e-87 -4.46304e-92 4.1053e-95
0.00115787 -2.40019e-41 -1.9606e-53 7.51021e-82 -2.06426e-87 -1.57467e-91 5.7911e-95
0.0011662 -2.73055e-41 -2.65066e-53 8.86499e-82 -3.06481e-87 -3.27411e-91 7.82576e-95
0.00117453 -3.04732e-41 -3.39146e-53 1.02251e-81 -4.32049e-87 -5.73973e-91 1.01586e-94
0.00118286 -3.33703e-41 -4.16334e-53 1.14782e-81 -5.83139e-87 -9.21372e-91 1.26598e-94
0.00119119 -3.58413e-41 -4.94087e-53 1.24602e-81 -7.56407e-87 -1.39907e-90 1.50842e-94
0.00119952 -3.77106e-41 -5.69273e-53 1.29412e-81 -9.43445e-87 -2.04218e-90 1.70264e-94
0.00120785 -3.87845e-41 -6.38176e-53 1.26097e-81 -1.12866e-86 -2.89152e-90 1.78684e-94
0.00121618 -3.88529e-41 -6.96528e-53 1.10559e-81 -1.2867e-86 -3.99319e-90 1.67209e-94
0.00122451 -3.76928e-41 -7.39574e-53 7.7531e-82 -1.37954e-86 -5.3975e-90 1.23635e-94
0.00123284 -3.50732e-41 -7.62139e-53 2.04058e-82 -1.35328e-86 -7.15674e-90 3.19045e-95
0.00124117 -3.07599e-41 -7.58789e-53 -6.89284e-82 -1.13497e-86 -9.32163e-90 -1.2827e-94
0.0012495 -2.45228e-41 -7.23985e-53 -2.00207e-81 -6.29686e-87 -1.19358e-89 -3.81447e-94
0.00125783 -1.61439e-41 -6.52281e-53 -3.84842e-81 2.81457e-87 -1.50276e-89 -7.55945e-94
0.00126616 -5.42623e-42 -5.3858e-53 -6.35871e-81 1.74178e-86 -1.85994e-89 -1.28248e-93
0.00127449 7.79564e-42 -3.78429e-53 -9.67751e-81 3.91697e-86 -2.26119e-89 -1.99161e-93
0.00128282 2.36442e-41 -1.683e-53 -1.39594e-80 6.98932e-86 -2.69646e-89 -2.90943e-93
0.00129115 4.21864e-41 9.40377e-54 -1.93622e-80 1.11468e-85 -3.14699e-89 -4.0512e-93
0.00129948 6.34213e-41 4.09216e-53 -2.6036e-80 1.65653e-85 -3.58214e-89 -5.41213e-93
0.00130781 8.72657e-41 7.75811e-53 -3.41084e-80 2.3382e-85 -3.95541e-89 -6.95487e-93
0.00131614 1.13541e-40 1.19013e-52 -4.36639e-80 3.16586e-85 -4.19971e-89 -8.59317e-93
